siteid,latitude,longitude
6466,39.24896193,26.03450548
1410,40.59932445,22.99721783
4791,39.63643941,20.86698484
3304,41.03753901,22.95183912
4932,37.923537,23.69333357
3295,40.92181544,23.97065309
41592,40.71910131,22.29691481
2297,38.92024128,22.66531359
45940,39.23662025,20.48303365
1644,38.55255055,26.09749594
3660,40.52448574,21.25849132
6357,37.28394235,26.76611956
3580,40.05988538,22.55565606
4057,39.73256511,19.82607162
41206,40.09579254,23.78483778
4937,39.3737132,22.93292532
2274,38.27705906,23.33188148
2411,38.62474458,23.09804223
1480,40.16174884,23.72762116
4655,39.35581748,21.89250625
5793,38.12119574,21.78144413
3406,40.89209695,23.75104772
3242,41.31005927,22.9135122
5519,37.77695171,20.8898589
5636,36.79237156,22.50362331
5518,37.82493079,20.8116655
5696,38.11866695,23.79816037
3803,40.07363786,23.44627665
4248,39.06647846,21.98061599
3585,40.48621305,22.54010942
4422,39.25140388,20.88432292
3267,40.01659804,23.52296316
3988,37.96745689,23.7123721
6320,35.11169225,25.8274394
2620,37.67568311,24.04679612
2781,37.95506429,23.70290835
697,37.99873445,23.76784852
2868,37.9672824,23.72994
6482,37.16058333,24.46102778
5933,38.01032222,23.64804945
5661,37.70984339,22.6031641
5186,37.96303594,23.72986406
4879,39.6140693,22.42691555
3914,40.46517983,22.22465446
495,37.95086594,23.63580614
1755,38.98692456,26.5051294
2651,37.93675507,23.64552915
3648,41.02688597,23.60931743
6023,37.81891005,24.95860016
1201,40.5995838,22.95458649
6166,36.84169614,25.90006847
3627,40.30340933,22.43061219
5151,38.1552738,22.25175388
2383,37.94127693,23.73154662
1417,38.03013007,23.83284907
3058,40.44301533,23.33153848
3076,40.93757681,24.40891291
1534,40.57444444,22.95091667
5960,37.98362725,23.78860412
5818,36.6894504,22.8322533
3121,41.03725655,26.19458719
3641,40.0699499,21.2670052
4342,39.13364994,22.0108405
5417,37.88832706,22.15814621
5597,37.5036715,22.36277349
1478,37.43363961,25.34675758
4522,37.0359774,22.08068687
651,38.06838889,23.76605556
1098,40.96995466,23.22046174
3423,41.12778408,23.90445292
1003,40.71577778,22.72883333
4202,39.08602778,20.90219444
4951,38.24071691,21.73929385
4421,39.2792133,20.85094667
5535,38.08701782,23.80389586
6101,36.28733855,28.03450112
4207,39.58179183,20.67967741
4788,39.67945738,20.96628936
3822,40.50815823,21.25346106
5689,36.16355556,23.00047222
159,37.95393591,23.71374326
2421,38.04392973,23.80316584
228,38.0435,23.82844444
5355,38.11944444,20.50475
2597,38.05894444,23.73641667
3161,40.53946631,22.22645228
1946,35.05059765,24.8758511
6509,35.02534619,25.39374825
2993,38.01563094,23.86833558
3131,41.36016529,26.60473894
203,38.02130823,23.81920308
1115,38.02154122,23.80042303
1328,37.96006372,23.69684979
6392,35.42580645,23.6981178
4221,39.47246373,21.32519097
1956,35.39022222,24.61347222
4724,40.40370982,21.74490345
815,37.98251862,23.73514903
5834,38.2237056,21.72904896
6235,39.07222418,26.35288892
2056,38.46971207,22.69645342
3130,41.57564254,26.23350994
679,38.13793501,23.84070806
3445,40.73953887,24.57461987
3705,41.38533563,23.43069071
576,38.12084839,23.79634625
46058,39.98142853,21.95603431
360,37.98931722,23.80580163
1848,37.45857903,25.390039
1229,40.6103365,22.95367472
4811,39.34072174,23.00893465
3324,40.38688934,21.07160679
3305,41.00899716,22.79544983
5780,37.50982141,22.37489934
6230,39.90418285,25.07849104
5456,37.93983166,22.03985197
4457,39.44333946,21.78382345
1275,40.4511741,22.89994846
1645,38.29547968,26.12304309
1990,35.42235541,24.09638007
1495,36.46511111,25.37325
44015,35.48704799,23.69036063
2681,37.92239297,23.7066331
1185,40.74987464,23.38659561
3245,40.91447222,24.25541667
6431,37.03666341,25.07823365
3509,41.22549612,25.738228
690,38.03244799,23.68905574
2153,38.67406381,23.18955161
6477,37.55105736,26.49461209
2664,37.92075734,23.70089298
1443,36.16788281,27.78300586
1421,37.67186111,24.325125
41469,36.40434658,25.47288906
