eett,latitude,longitude
250307,39.681903,20.823401
62070,38.102146,23.845296
90049,40.503906,22.926587
90049,40.503906,22.926587
64662,38.064406,23.718139
90120,40.624129,22.736696
90121,40.663739,22.712645
40523,37.441037,22.612027
63080,38.021137,23.833863
60145,38.020437,24.006723
40213,37.345627,22.761482
64680,38.058562,23.738063
65111,37.865622,23.851278
270170,39.254835,22.05538
60211,37.989242,23.751498
480103,37.68881,26.942239
60544,37.973118,23.766531
10238,38.245369,21.735276
10391,38.193158,21.712661
260046,40.779688,24.709862
64671,38.053311,23.734778
66445,37.978236,23.741907
65256,38.014199,23.74987
65220,38.020717,23.756158
65257,38.017043,23.757896
60565,37.977478,23.766039
90110,40.730702,22.917343
60007,38.193737,23.854037
130256,38.471441,23.64872
60498,37.977841,23.77033
60261,38.073584,23.813245
62402,38.101434,23.883781
60261,38.073584,23.813245
40062,37.288852,22.354471
60211,37.989242,23.751498
60211,37.989242,23.751498
10382,38.201557,21.703566
10450,38.208638,21.725897
490201,41.08364,23.554667
490203,41.083919,23.55416
10385,38.199662,21.701554
10323,38.193758,21.697661
10386,38.197111,21.69689
10390,38.193984,21.712425
10387,38.194917,21.700946
